"district","type","name","address","tel","website","twd97E","twd97N","update_date"
"石門區","公所","石門區公所","新北市石門區中山路66號","02-26381721","www.shimen.ntpc.gov.tw","307184.635","2798154.375","2017-07-17 06:00:00.627"
"石門區","戶政事務所","新北市金山戶政事務所石門區所","新北市石門區中山路66號","02-26381307","www.shimen.ris.ntpc.gov.tw","307184.368","2798153.238","2017-07-17 06:00:00.627"
"石門區","衛生所","新北市石門區衛生所","新北市石門區中山路28之1號","02-26429640","shimen.health.ntpc.gov.tw","306975.0","2797971.0","2017-07-17 06:00:00.627"
"石門區","警察機關","石門分駐所","新北市石門區尖鹿里中山路64號","02-26381244","www.jinshan.police.ntpc.gov.tw/","307164.0","2798147.0","2017-07-17 06:00:00.627"
"石門區","警察機關","老梅派出所","新北市石門區老梅里老梅路26號","02-26381253","www.jinshan.police.ntpc.gov.tw","304952.0","2797903.0","2017-07-17 06:00:00.627"
"石門區","警察機關","保安茂林分隊","新北市石門區小坑12號","02-26381393","","309338.0","2796716.0","2017-07-17 06:00:00.627"
"石門區","警察機關","保安乾華分隊","新北市石門區小坑12號","02-26381392","","309326.0","2796715.0","2017-07-17 06:00:00.627"
"石門區","警察機關","保安第二總隊第二大隊第二中隊","新北市石門區小坑12號","02-26381081","","309327.0","2796732.0","2017-07-17 06:00:00.627"
"石門區","警察機關","保安警察第二總隊二大二中","新北市石門區茂林社區260號","02-26381081","","309763.984","2795833.779","2017-07-17 06:00:00.627"
"石門區","警察機關","保安警察第二總隊茂林分隊","新北市石門區茂林社區260號","02-26381393","","309763.984","2795833.779","2017-07-17 06:00:00.627"
"石門區","警察機關","保安警察第二總隊乾華分隊","新北市石門區茂林社區260號","02-26381392","","309763.984","2795833.779","2017-07-17 06:00:00.627"
"石門區","警察機關","乾華派出所","新北市石門區草里里阿里荖14之1號","02-26381274","www.jinshan.police.ntpc.gov.tw","311282.0","2796925.0","2017-07-17 06:00:00.627"
"石門區","消防機關","新北市第六救災救護大隊石門分隊","新北市石門區尖鹿里中山路64-1號","02-26381619","www.fire.ntpc.gov.tw","307140.362117","2798109.74065","2017-07-17 06:00:00.627"
"石門區","其他機關","石門區農會","新北市石門區中央路2號","02-26381005","","304767.00012207","2797981.00012207","2017-07-17 06:00:00.627"
"石門區","其他機關","新北市石門區調解委員會","新北市石門區中山路66號","02-26381721","","307125.23931884","2798125.68487549","2017-07-17 06:00:00.627"
